epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2615.5,0.8108,0.83791,1.08852,0.79173,0.79084,0.83013,0.56728,0.8648,0.88362,0.97914,0.000990365,0.000990365,0.000990365
43,2677.35,0.84845,0.84902,1.09219,0.73819,0.80567,0.82831,0.56131,0.89333,0.85813,1.01803,0.000973861,0.000973861,0.000973861
44,2750.31,0.86903,0.86353,1.08767,0.71512,0.75225,0.7686,0.45562,0.98506,1.05332,1.07821,0.000957358,0.000957358,0.000957358
45,2813.78,0.81361,0.81419,1.03902,0.75132,0.81464,0.84932,0.53761,0.97909,0.8801,1.10443,0.000940855,0.000940855,0.000940855
46,2875.9,0.78574,0.76386,1.07266,0.75483,0.86775,0.86404,0.57709,0.87102,0.81467,0.99229,0.000924352,0.000924352,0.000924352
47,2939.25,0.79737,0.77315,1.0445,0.73551,0.89113,0.87934,0.59086,0.9019,0.78154,0.9947,0.000907848,0.000907848,0.000907848
48,3002.43,0.76317,0.72802,1.03695,0.77797,0.8134,0.87311,0.54757,0.93646,0.85168,1.05492,0.000891345,0.000891345,0.000891345
49,3065.86,0.824,0.80228,1.03926,0.73902,0.87974,0.87631,0.56652,0.94959,0.83601,1.05251,0.000874842,0.000874842,0.000874842
50,3129.31,0.80026,0.78447,1.04332,0.77238,0.83603,0.87439,0.59351,0.89197,0.84358,0.9972,0.000858338,0.000858338,0.000858338
51,3192.07,0.78619,0.78719,1.03484,0.70706,0.79377,0.8342,0.5478,0.93773,1.0228,1.00645,0.000841835,0.000841835,0.000841835
52,3252.94,0.76051,0.76597,1.02552,0.76856,0.72121,0.83241,0.53584,0.8617,0.95452,0.98348,0.000825332,0.000825332,0.000825332
53,3315.89,0.73921,0.72334,1.02853,0.75044,0.85577,0.8492,0.58007,0.81807,0.81611,0.96187,0.000808828,0.000808828,0.000808828
54,3376.95,0.74165,0.71219,0.99591,0.7516,0.85054,0.87785,0.59704,0.85598,0.781,0.99599,0.000792325,0.000792325,0.000792325
