epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9672,1.22048,3.37744,1.68655,0.0044,1,0.06263,0.03535,0.65066,3.86414,1.06853,3.75e-05,3.75e-05,3.75e-05
2,25.2038,0.97881,3.26166,1.51571,0.00388,1,0.08066,0.04191,0.52955,3.84642,0.98538,7.0175e-05,7.0175e-05,7.0175e-05
3,37.5409,0.86496,3.27188,1.51112,0.00371,1,0.18488,0.09537,0.41138,3.8194,0.8568,8.305e-05,8.305e-05,8.305e-05
4,49.5758,0.69669,3.10821,1.3257,0.00359,1,0.26951,0.21788,0.30656,3.78344,0.75231,7.6125e-05,7.6125e-05,7.6125e-05
5,61.4001,0.55733,2.99408,1.23693,0.00351,1,0.32339,0.2785,0.30754,3.78381,0.74726,4.94e-05,4.94e-05,4.94e-05
